"dateofsleep","total_duration","total_duration_not_awake","total_deep","total_light","total_rem","total_wake","total_awake","total_restless","total_asleep","seven_day_avg_duration","thirty_day_avg_duration"
"2019-01-28",8.616666666666667,7.316666666666666,1.15,4.95,1.2166666666666666,1.3,0,0,0,8.616666666666667,8.616666666666667
"2019-01-30",8.483333333333333,7.583333333333333,1.2,4.65,1.7333333333333334,0.9,0,0,0,8.55,8.55
"2019-01-31",6.583333333333333,5.716666666666667,0.6166666666666667,3.9166666666666665,1.1833333333333333,0.8666666666666667,0,0,0,7.894444444444445,7.894444444444445
"2019-02-02",7.883333333333334,7.083333333333333,0.18333333333333332,5.883333333333334,1.0166666666666666,0.8,0,0,0,7.891666666666667,7.891666666666667
"2019-02-03",5.833333333333333,5.233333333333333,0.3,4.316666666666666,0.6166666666666667,0.6,0,0,0,7.4799999999999995,7.4799999999999995
"2019-02-04",6.916666666666667,6.3,0.75,4.55,1,0.6166666666666667,0,0,0,7.38611111111111,7.38611111111111
"2019-02-09",7.833333333333333,6.95,0.9333333333333333,4.233333333333333,1.7833333333333334,0.8833333333333333,0,0,0,7.45,7.45
"2019-02-11",7.716666666666667,6.85,1.0166666666666666,4.05,1.7833333333333334,0.8666666666666667,0,0,0,7.321428571428571,7.483333333333333
"2019-02-12",5.733333333333333,4.983333333333333,0.3333333333333333,3.85,0.8,0.75,0,0,0,6.92857142857143,7.288888888888888
"2019-02-13",9.116666666666667,7.916666666666667,1.0166666666666666,4.916666666666667,1.9833333333333334,1.2,0,0,0,7.29047619047619,7.471666666666667
"2019-02-17",9.05,7.933333333333334,1.2,4.7,2.033333333333333,1.1166666666666667,0,0,0,7.457142857142857,7.615151515151515
"2019-02-26",11,9.566666666666666,2.033333333333333,5.716666666666667,1.8166666666666667,1.4333333333333333,0,0,0,8.195238095238096,7.897222222222222
"2019-02-27",6.9,6.016666666666667,0.36666666666666664,4.516666666666667,1.1333333333333333,0.8833333333333333,0,0,0,8.192857142857143,7.820512820512821
"2019-02-28",8.966666666666667,7.4,1.1333333333333333,4.683333333333334,1.5833333333333333,1.5666666666666667,0,0,0,8.354761904761904,7.902380952380953
"2019-03-01",9.05,7.616666666666666,1.05,5.166666666666667,1.4,1.4333333333333333,0,0,0,8.545238095238096,7.978888888888889
"2019-03-02",8.466666666666667,7.55,0.8,5.616666666666666,1.1333333333333333,0.9166666666666666,0,0,0,8.935714285714287,8.009375
"2019-03-03",9.6,8.65,1.45,5.233333333333333,1.9666666666666666,0.95,0,0,0,9.004761904761905,8.102941176470589
"2019-03-04",6.066666666666666,5.433333333333334,0.4,3.5166666666666666,1.5166666666666666,0.6333333333333333,0,0,0,8.578571428571431,7.989814814814815
"2019-03-06",6.566666666666666,5.666666666666667,0.65,3.7333333333333334,1.2833333333333334,0.9,0,0,0,7.9452380952380945,7.914912280701754
